source,target
9789526,644534710
9789526,646598384
9789526,658845108
9789526,670004190
9789526,675242671
9789526,685491294
9789526,685790355
9789526,686050238
9789526,710240593
9789526,710403434
9789526,734084880
9789526,745168676
9789526,765581935
9789526,767788395
9789526,791140758
9789526,802262057
23965528,23672
23965528,512386
23965528,1245526
23965528,3129171
23965528,3911579
23965528,4938151
23965528,5164801
23965528,5223148
23965528,5798167
23965528,7203709
23965528,7467015
23965528,7981465
23965528,8112813
23965528,8369486
23965528,8464358
23965528,10356790
23965528,11633961
23965528,12777725
23965528,16199383
23965528,16393136
23965528,17126220
23965528,17470556
23965528,17496756
23965528,18712436
23965528,19552199
23965528,19786421
23965528,19841356
23965528,19890875
23965528,20044416
23965528,20048225
23965528,20909542
23965528,21633523
23965528,21753133
23965528,22039305
23965528,22115938
23965528,23212817
23965528,25764361
23965528,26048230
23965528,27126539
23965528,28904796
23965528,32106200
23965528,32151464
23965528,33704680
23965528,35286309
23965528,35592349
23965528,36258684
23965528,38491712
23965528,40875252
23965528,40982381
23965528,41880525
23965528,43342403
23965528,43561452
23965528,43565665
23965528,44628287
23965528,45275257
23965528,45735182
23965528,46477598
23965528,50085936
23965528,50358671
23965528,50428347
23965528,50562619
23965528,51841407
23965528,53031221
23965528,53843800
23965528,53903956
23965528,54648903
23965528,55610534
23965528,56771206
23965528,59762050
23965528,61672380
23965528,62634129
23965528,62934437
23965528,67772021
23965528,70079603
23965528,74442676
23965528,75280755
23965528,80138650
23965528,80239378
23965528,81553817
23965528,82014471
23965528,82416355
23965528,89469608
23965528,89519721
23965528,90686164
23965528,96246102
23965528,97554724
23965528,99504431
23965528,100796171
23965528,102594515
23965528,105893886
23965528,106325788
23965528,113559989
23965528,123192777
23965528,126969633
23965528,127670747
23965528,128106520
23965528,131623193
23965528,131842252
23965528,134376251
23965528,134453239
23965528,138671804
23965528,141317788
23965528,141354378
23965528,141765241
23965528,142318872
23965528,142460029
23965528,144370592
23965528,146551122
23965528,146822531
23965528,147120731
23965528,147855774
23965528,151421375
23965528,152484260
23965528,154685673
23965528,154728240
23965528,154747493
23965528,154922507
23965528,155510747
23965528,155835680
23965528,155844999
23965528,156369621
23965528,156416159
23965528,157560303
23965528,158354273
23965528,159082154
23965528,161913099
23965528,162268509
23965528,162618437
23965528,163085934
23965528,163519600
23965528,165990318
23965528,170257773
23965528,172479732
23965528,173541909
23965528,178058253
23965528,178775549
23965528,178924974
23965528,180749043
23965528,181569708
23965528,182243166
23965528,184512410
23965528,185807491
23965528,186433651
23965528,187938940
23965528,187991844
23965528,190194571
23965528,191609240
23965528,191845294
23965528,192949933
23965528,196205641
23965528,196693991
23965528,200966837
23965528,201731528
23965528,202171699
